bill_number,session,session_type,title,sponsors,out_chamber_sponsors,bill_url
HB15-1101,2015,RS,Public Defender ADC Records Open Records,LAWRENCE; FIELDS,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/CFFC296CE7E7CFD087257D8800746CA7?opendocument
HB15-1102,2015,RS,CO Cottage Foods Act Expansion,HAMNER; WILLETT,DONOVAN; GRANTHAM,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/D56CB69813C0781487257D9A005526F8?opendocument
HB15-1103,2015,RS,Peace Officer Status DOR Employees,COURT,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/6FCBB75F8F68FBBA87257DA20078D5CF?opendocument
HB15-1104,2015,RS,Educator Expenses State Income Tax Deduction,NAVARRO,JOHNSTON,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/3627021D84DD391087257D88006E400D?opendocument
HB15-1105,2015,RS,Revising CO Ed Accountability Measures ,EVERETT,MARBLE,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/FB06D3716FC1679587257D8900636C44?opendocument
HB15-1106,2015,RS,Clarify Access To Unredacted Adoption Records,SAINE,SONNENBERG,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/5DEB756FD784C4A687257D8800749FF5?opendocument
HB15-1107,2015,RS,Annexation Large Communities Served By Metro Dists,VAN WINKLE,HOLBERT,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/5D8A3C13384A271C87257DA10082BAE3?opendocument
HB15-1108,2015,RS,Protections Collection And Release Student Data,LUNDEEN,WOODS,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/BFA276B4B97E571787257D9000639D6C?opendocument
HB15-1109,2015,RS,Additional SB09-228 Transfers To HUTF & Cap Constr,DELGROSSO,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/E151A8EBDC44A4EC87257D9B007255B9?opendocument
HB15-1110,2015,RS,Review Of Principal Departments Of State Gov,SZABO,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/A1FEEA0F094988FD87257DA1008064D4?opendocument
